Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToDoubleTask.MapReduceValuesToDoubleTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToDoubleTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToDoubleTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToIntTask.MapReduceValuesToIntTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToIntTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToIntTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToLongTask.MapReduceValuesToLongTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToLongTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesToLongTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.Node.Node",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.Node.equals",1,1,1,7
Method,"jsr166e.ConcurrentHashMapV8.Node.find",4,4,4,7
Public Method,"jsr166e.ConcurrentHashMapV8.Node.getKey",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.Node.getValue",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.Node.hashCode",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.Node.setValue",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.Node.toString",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectByObjectToDouble.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectByObjectToInt.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectByObjectToLong.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectToDouble.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectToInt.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ObjectToLong.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.ReduceEntriesTask.ReduceEntriesTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ReduceEntriesTask.compute",1,9,9,10
Public Method,"jsr166e.ConcurrentHashMapV8.ReduceEntriesTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.ReduceKeysTask.ReduceKeysTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.ReduceKeysTask.compute",1,10,10,11
Public Method,"jsr166e.ConcurrentHashMapV8.ReduceKeysTask.getRawResult",1,1,1,1
